ticker,sector,entry_date,report_price,entry_close,initial_stop,current_stop,initial_target,status,exit_date,exit_close,exit_reason
GARAN,Bankacilik,2026-06-16,140.80,140.20,118,118,192.15,open,,,
TUPRS,Rafineri,2026-06-16,226.00,225.40,195,291,349.79,closed,2026-07-30,288.00,settled 288.00 < 291 trailing stop DECISIVE breach (-1.03% alti) -> TRAILING STOP KESIM tetigi FIRED (07-30 settled); 07-31 intraday 287.75 teyit (reversiyon yok). RSI 62 asiri alimdan sogudu + MACD hist -2.07 momentum rolling. Disiplinli kar-kilitleme: giris 225.40 -> cikis 288.00 = +%27.77 getiri; realize alfa OTORITER compute_perf'ten. Trailing stop TASARLANDIGI gibi calisti (RSI 97 tepe sonrasi mean-reversion). Geri alim = yeni katalizor + RSI<60 pullback + settled >291 rejim onarimi gerekir
FROTO,Otomotiv,2026-06-16,91.60,91.30,78,78,147.61,closed,2026-07-28,77.55,"settled 77.55 < 78 stop KESIM tetigi FIRED (07-28 settled); 07-29 settled 76.10 tekrar teyit (-2.4% stop alti). Bilanco 4 Agu'ya (5 gun) tasindi - 'yakin binary katalizor' gerekcesi gecersiz kaldi; stop disiplini uygulandi. Momentum negatif (MACD -2.67 hist -0.32 NEG, RSI 33.8)"
TCELL,Telekom,2026-06-16,114.60,115.20,99,98,161.22,closed,2026-07-24,103.70,"settled 103.70 < 104 pre-commit TAM KESIM tetigi FIRED (07-24 settled); rejim tezi yanlislandi, flow/teknik cokus, fundamental katalizor yok; realize alfa ~-6.2pp kilitlendi"
THYAO,Havayolu,2026-06-16,326.50,326.50,285,,420.00,watchlist,2026-06-17,321.75,Dongusellik/kar volatilitesi nedeniyle 17 Haz'da cekirdekten cikarildi; izleme listesinde alfa takibi suruyor
ISCTR,Bankacilik,2026-06-17,15.01,14.94,12.80,12.80,21.10,closed,2026-07-29,12.30,"settled 12.30 < 12.80 stop (-3.9% DELINDI, temas degil) VE < 12.50 3.dip esigi = KESIM. 07-29 -4.6% idiyosinkratik cokus (XU100 -1.36%) 625M hacim, KAP temiz (rutin faiz bildirimleri) = flow/teknik cokus, fundamental katalizor yok. Pre-commit 'de-risk trim' softlugu settled decisive breach'te gecersiz -> TAM KESIM. TCELL paterni tekrari (flow cokusu + stop delme)"
BIMAS,Perakende,2026-07-29,388.75,386.50,370,405,495.00,open,,,"TRAILING STOP 385 -> 405 (2026-09-15). On-kayitli zincir 2/2 TAMAMLANDI: 09-10 settled 430,00 (1/2) + 09-11 settled 434,75 (2/2). 09-14 settled 429,75'e donmesi zinciri geriye donuk bozmaz - kosul iki ardisik seansta saglandi. 405 YAPIYA demirli: ema50 412,46'nin ve tum eylul settled bandinin (418,00-434,75) ALTINDA, son settled'dan -%5,76 (eski stop -%10,41 uzaktaydi). Kilitlenen taban: giris 386,50 -> 405 = +%4,79. Agirlik %18'de SABIT - tetigin tanimli aksiyonu stop tarafindadir, agirlik tarafinda degil. OGRENIM 7.10'un ILK POZITIF-TARAF (simetrik) testi: iki-seans onayi kurali simdiye kadar yalnizca kirilma vakalarinda olculmustu; bu kez zincir TAMAMLANDI ve kural pozitif tarafta da calisti (n=2 -> n=3)."
AEFES,Icecek,2026-07-29,21.60,21.48,20.40,20.40,27.11,closed,2026-08-12,19.52,"ON-KAYITLI TAM KESIM tetigi FIRED: 08-12 raporunda 'settled <20,40 -> TAM KESIM' diye yazilmisti; 08-12 settled 19.52 = stopun %4,31 ALTINDA -> kosulsuz uygulandi. Q2 Finansal Rapor 11 Agu 22:11 KAPa verildi (kapanis sonrasi), ertesi gun -%7,14 (21,02->19,52) ve XU100 +%2,96 rallide -10,10pp rolatif. Realize alfa -13,63pp (giris 21,48 07-29 -> cikis 19,52 08-12; XU100 ayni donem +%4,51). Dip-cizgi zaafi (2026Q1 attributable -%11,0 YoY) her raporda yazilmisti; Q2 sonrasi akis coküsü tezi yanliladi. Not: 08-13 settled 19,25 (-%1,38) kesimi TEYIT etti, reversiyon yok. Geri alim = KAP-teyitli Q2 rakamlari POZITIF + settled >20,40 rejim onarimi gerekir"
CCOLA,Icecek,2026-07-29,91.75,91.45,86,86,105.00,closed,2026-08-12,83.25,"ON-KAYITLI TAM KESIM tetigi FIRED (ayni sartin IKINCI kez yazilmasi, gevsetme yok): 08-11'de test edilip atesLENMEMISTI (settled 86,65 > 86), 08-12'de AYNI esikle yenilendi ve settled 83,25 = stopun %3,20 ALTINDA -> uygulandi. Realize alfa -13,47pp (giris 91,45 07-29 -> cikis 83,25 08-12; XU100 +%4,51). Tez bacaklari (2026Q1 +%213,8 YoY, F/K 11,02 < XGIDA medyani, konsensüs 21 analist hedef 115,40) BOZULMADI - kesim FIYAT/stop disiplinidir, tez yanlislanmasi degil. AEFES kontaminasyonu (%50 ortak) muhtemel ana kanal. Not: 08-13 settled 84,95 (+%2,04) toparladi -> kesim maliyeti 1 seansta +1,70 TL/hisse olctuldu ve raporlandi. Geri alim = settled >ema20 (~86,9) + Q2 KAP-teyitli buyume POZ"
ENJSA,Elektrik-Utility,2026-07-30,108.80,109.50,104,110,155.37,closed,2026-09-16,107.30,"ON-KAYITLI TETIK GERIYE DONUK ATESLENDI (09-16 raporunda yaziliydi: 'Araclar dondugunde ENJSA 09-15 kapanisi ONCELIKLE cekilir; stop degmisse cikis GERIYE DONUK islenir'). Araclar 09-17'de dondu, backfill borcu kapatildi ve tetik OLCULDU: 09-15 settled 112,80 = stop 110'un %2,55 USTUNDE (o seans HAYATTA KALDI), 09-16 settled 107,30 = stopun %2,45 ALTINDA -> KESIM. Cikis 09-16 KAPANISINA demirlendi, bugunun gun-ici fiyatina DEGIL (METHODOLOGY 4). BAGLAM: kesim XU100'un -%5,54 coktugu seansta gerceklesti - idiyosinkratik cokus DEGIL, piyasa genelinde risk-off. Stop yine de KOSULSUZ uygulandi: stopun tanimi settled-alti kapanistir, dusuSUN GEREKCESI degil; 'piyasa dustu, benim ismim suclu degil' muafiyeti yazili kuralda YOKTUR. ON-KAYITLI TRIM'IN OLCULEN FAYDASI: 09-15'te agirlik %7 -> %4'e indirilmisti, dolayisiyla kesim %4 agirlikla gerceklesti, %7 ile DEGIL - bilgi kesilmeden ONCE tetikle hareket etmis olmak kesinti boyunca korumaya devam etti. Realize alfa OTORITER compute_perf'ten."
ANSGR,Sigorta,2026-08-14,28.80,28.68,26.80,26.80,44.40,closed,2026-09-02,26.50,"ON-KAYITLI TAM KESIM tetigi FIRED: 09-02 raporunda 'settled <26,80 -> kalan %5 TAM KESIM' diye yazilmisti; 09-02 settled 26,50 = stopun %1,12 ALTINDA -> kosulsuz uygulandi. Kesim iki asamada oldu: 09-02'de %10->%5 trim (5 ardisik negatif alfa + settled <27,60), 09-03'te kalan %5 TAM KESIM. Deger bacagi (F/K 3,61 < XUMAL ex-target medyan 9,29) SON ANA KADAR GECIYORDU - kesim tez yanlislanmasi degil FIYAT/stop disiplinidir; bozulan sey teknikti (RSI asiri satim, settled ema20 ve sma20 altinda, MACD histogram negatif). 09-03 gun-ici 26,52 kesimi TEYIT etti (reversiyon yok). Realize alfa OTORITER compute_perf'ten. Geri alim METHODOLOGY 5.2'ye tabidir: uc secim bacagi TAZE + settled >ema20 + cikistan SONRA gelen KAP-teyitli yeni katalizor"
TUPRS,Rafineri,2026-08-27,384.25,380.75,345,345,468.00,open,,,"GERI GIRIS 08-27 (07-30'da 288,00'den kesilmisti): starter %10, nakitten. METHODOLOGY 5.2 ile YENIDEN TANIMLANAN geri alim kapisinin UC sarti da saglandi: (1) SECIM KRITERI uc bacak TAZE veriyle gecti - 2026Q1 faaliyet kari +%123,74 nominal / REEL +%69,8 (TUFE %31,75), F/K 10,07 < XUSIN medyani 15,49 (ex-target 17,78) VE EV/FAVOK 5,4, katalizor KAP 04 Agu Q2 Finansal Rapor + Gelecege Donuk Degerlendirmeler; (2) son settled 380,00 > ema20 373,94 (trend onarimi); (3) cikistan SONRA gelen yeni KAP katalizoru: 04 Agu EPS 36,0441 vs beklenti 19,4928 = +%84,9 BEAT. entry_close=384,25 PROVIZYONEL (giris seans ici yapildi, 08-27 kesinlesmis kapanisi henuz yok) -> ledger-butunlugu tetigi acildi, 08-28'de settled kapanisla DOGRULANACAK (08-14 ANSGR presedani). Wilder RSI-14 67,55 (n=22, seed araligi 67,45-75,08 GENIS) YUKSEK -> bu yuzden tam degil STARTER boyut. Konsensus mean 391,33 yalnizca +%1,84 yukari alan biraktigi icin hedef konsensuse DEGIL bagimsiz yonteme demirlendi."
VAKBN,Bankacilik,2026-09-02,32.52,34.08,30.00,30.00,43.61,open,,,"GIRIS 09-02: starter %5, ANSGR triminden bosalan agirlikla (nakit net degismedi). UC BACAK DA TAZE VERIYLE MET: F/K 4,61/4,6 < XBANK ex-target medyan 5,60 (n=9); EPS beat 7,7021 vs 2,01 tahmin (2026-08-07) = 3,83x; katalizor 2026Q2 bilanco 08-07 + Q3 2026-11-05. Teknik onay: settled 09-01 32,56 > ema20 31,20 (settled-only) VE > ema50 31,27, MACD +0,575 genisliyor, RSI 58,81. STOP 30,00: 08-20 settled kapanisi (30,04) ve 08-19/08-21 konsolidasyon bandinin ALTINA, ema50'nin (31,27) asagisina konuldu - tek-gun gurultusune degil YAPIYA demirli, giristen -%7,75. Hedef 43,61 = yfinance konsensus ortalamasi (19 al / 4 tut / 3 sat), ima ettigi F/K 5,66 ~ emsal medyani 5,60. PROVIZYONELLIK 09-03'TE COZULDU: entry_close 32,52 -> 34,08 (09-02 kesinlesmis kapanisi). Sapma +%4,80 ve ALEYHIMIZE: METHODOLOGY 4 geregi resmi seri giris gununun KAPANISINI kullanir, rapor-ani gun-ici fiyatini degil; VAKBN 09-02'de gun ici 32,52'den kapanista 34,08'e kostu (+%4,80) ve ledger daha KOTU girisi kaydediyor. Bu 3. provizyonel vaka (08-14 ANSGR +%0,42, 08-27 TUPRS -%0,92, 09-02 VAKBN +%4,80) ve simdiye kadarki EN BUYUK sapma"
ISCTR,Bankacilik,2026-09-04,13.03,13.01,12.20,12.95,19.38,closed,2026-09-16,12.22,"HARD STOP GERIYE DONUK ATESLENDI. 09-15 raporunda 'settled <12,95 -> HARD STOP KESIM' ON-KAYITLIYDI; kesinti nedeniyle 09-16'da olculememisti. Araclar 09-17'de dondu ve esik OLCULDU: 09-15 settled 13,36 = stopun %3,17 USTUNDE (hayatta kaldi), 09-16 settled 12,22 = stopun %5,64 ALTINDA = DECISIVE BREACH -> KESIM. CURUTME esigi (iki ardisik settled <12,91) 09-16'da yalnizca 1/2 idi; hard stop ondan ONCE atesLENDI ve daha yuksek esik bagLAYICI oldu. Giris 13,01 (09-04 settled) -> cikis 12,22 = -%6,07 getiri; realize alfa OTORITER compute_perf'ten. Bu AYNI ISIMDE IKINCI kesimdir (07-29'da 12,30'dan): geri giris 09-04'te METHODOLOGY 5.2'nin UC sartiyla yapilmisti ve TEZ BACAKLARI BOZULMADI (F/K 4,78 < XBANK ex-target 5,48; EPS 2,7169 vs 0,89842 = 3,02x KAP-teyitli beat) - kesim tez yanlislanmasi DEGIL FIYAT/stop disiplinidir. UCUNCU giris icin 5.2 kapisi artik daha yuksektir ve gerekcesi rapora yazildi."
